# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 2638 b,Confirmed,0.48,,,0.48,,,1.04,,,3.43752,0.008239,0.008239,0.044,,,0.0407,0.0351,0.0407,,,,0.000819,2005,2016-09-03,126.9,78.6,78.6,2453323.282,,,,,,,,,,,,,,,,,,53323.206,0.002,0.002,66.26,2.83,2.83,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 2638,7.4958333,-5.7638889,9.44,,,,,53.71,,,0.16,0.05,0.05,0.93,,,,,,G5,3.0,,,5192.0,38.0,38.0,,,
HD 330075 b,Confirmed,0.62,,,0.62,,,1.06,,,3.6413,0.00187,0.00187,0.039,,,0.0187,0.0684,0.0187,,,,0.000777,2004,2015-02-25,38.2,91.2,91.2,2452968.399,,,,,,,,,,,,,,,,,,2452878.815,0.003,0.003,97.84,8.79,8.79,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 330075,237.4041667,-49.9633333,9.36,,,,,50.2,,,0.03,,,0.95,,,,,,G5,6.21,,,6295.0,,,,,
HD 33283 b,Confirmed,0.33,,,0.33,,,0.99,,,18.1801,0.008,0.008,0.168,,,0.458,0.0656,0.0569,,,,0.001953,2006,2015-02-16,156.0,9.6,9.6,2453560.0,0.3,0.3,,,,,,,,,,,,,,,,,,,24.48,2.41,2.41,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 33283,77.0041667,-26.7972222,8.05,,,,,86.0,,,0.366,0.05,0.05,1.24,0.1,0.1,1.2,0.1,0.1,G3V,3.2,2.3,2.3,5995.0,50.0,50.0,,,
HD 41004 B b,Confirmed,18.4,0.22,0.22,18.4,0.22,0.22,1.06,,,1.32363,8.9e-05,8.9e-05,0.0177,,,0.058,0.0511,0.058,,,,0.000411,2004,2015-02-16,149.0,72.2,72.2,2452532.699,0.0029,0.0029,,,,,,,,,,,,,,,,,,,4599.21,338.0,338.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 41004 B,89.9583333,-48.2397222,12.33,,,,,43.03,,,-0.01,,,0.4,,,,,,M2,1.56,0.8,0.8,5035.0,,,,,
HD 46375 b,Confirmed,0.23,,,0.23,,,1.02,,,3.02358,6.44902e-05,6.44902e-05,0.041,,,0.0524,0.032,0.0229,,,,0.001228,2000,2015-02-24,113.7,34.3,34.3,2451920.7,,,,,,,,,,,,,,,,,,,,,33.67,0.81,0.81,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 46375,98.3,5.4627778,7.94,,,,,33.4,,,0.24,,,0.91,,,1.0,,,K1 IV,4.96,,,5199.0,,,IR Excess,,
HD 49674 b,Confirmed,0.1,,,0.1,,,0.98,,,4.94739,0.000974925,0.000974925,0.058,0.0033,0.0033,0.0495,0.0691,0.0495,,,,0.001425,2002,2015-02-27,263.9,79.3,79.3,2452308.9,,,,,,,,,,,,,,,,,,,,,11.78,1.18,1.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 49674,102.875,40.8675,8.1,,,,,40.7,,,0.25,,,1.07,,,0.94,,,G5 V,2.38,,,5482.0,,,,,
HD 63454 b,Confirmed,0.39,,,0.39,,,1.06,,,2.81747,0.000382247,0.000382247,0.036,,,0.0177,0.0203,0.0177,,,,0.001006,2005,2015-02-20,137.1,76.2,76.2,2453238.057,,,,,,,,,,,,,,,,,,,,,63.19,1.82,1.82,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 63454,114.8375,-78.2788889,9.37,,,,,35.8,,,0.11,0.07,0.07,0.8,,,,,,K4 V,1.0,,,4841.0,65.0,65.0,,,
HD 75289 b,Confirmed,0.47,,,0.47,,,1.03,,,3.50928,7.2946e-05,7.2946e-05,0.046,,,0.0211,0.0217,0.0211,,,,0.001589,1999,2015-02-24,136.3,73.9,73.9,2452593.9,0.48,0.48,,,,,,,,,,,,,,,,,,,54.84,1.87,1.87,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 75289,131.9166667,-41.7366667,6.35,,,,,28.94,,,0.29,,,1.05,,,1.25,,,G0 V,4.96,,,6120.0,45.0,45.0,,,
HD 76700 b,Confirmed,0.23,,,0.23,,,0.99,,,3.97101,0.000203,0.000203,0.049,0.004,0.004,0.0616,0.0426,0.0587,,,,0.000821,2002,2015-02-25,12.3,54.3,54.3,2452659.1,,,,,,,,,,,,,,,,,,1219.9,0.1,0.1,27.24,1.31,1.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 76700,133.4791667,-66.8008333,8.13,,,,,59.7,,,0.14,,,1.0,0.05,0.05,1.33,,,G6 V,4.51,,,5726.0,28.0,28.0,,,
HD 7924 b,Confirmed,0.0273,0.0017,0.0017,0.0273,0.0017,0.0017,1.05,,,5.39792,0.00025,0.00025,0.05664,0.00069,0.00069,0.058,0.056,0.04,,,,0.003393,2009,2015-04-29,332.0,71.0,50.0,2454096.65,,,2455586.38,0.086,0.11,,,,,,,,,,,,,,,,3.59,0.2,0.2,826.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 7924,20.4958333,76.7102778,7.185,,,,,16.8,0.1,0.1,-0.15,0.03,0.03,0.832,0.036,0.036,0.78,0.02,0.02,K0V,,,,5177.0,44.0,44.0,,,
HD 80606 b,Confirmed,3.94,0.11,0.11,3.94,0.11,0.11,0.921,0.036,0.036,111.43637,0.0009,0.0009,0.449,0.006,0.006,0.93366,0.00043,0.00043,89.285,0.023,0.023,0.007688,2001,2014-08-16,300.651,0.109,0.109,2454424.857,0.05,0.05,,,,2454876.344,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,K,HD 80606,140.6541667,50.6036111,8.93,,,,,58.4,15.0,15.0,0.43,0.06,0.06,0.98,0.1,0.1,0.98,0.07,0.07,G5,7.63,,,5645.0,45.0,45.0,,,
HD 83443 b,Confirmed,0.4,0.034,0.034,0.4,0.034,0.034,1.04,,,2.98572,5.30373e-05,5.30373e-05,0.0406,0.0033,0.0033,0.007,0.0135,0.007,,,,0.000932,2002,2015-02-24,117.3,82.2,82.2,2452248.9,0.82,0.82,,,,,,,,,,,,,,,,,,,56.0,1.05,1.05,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 83443,144.2958333,-43.2719444,8.23,,,,,43.54,,,0.35,,,0.9,,,1.04,,,K0 V,2.94,,,5460.0,100.0,100.0,,,
HD 86081 b,Confirmed,1.5,,,1.5,,,1.08,,,1.99809,0.006778,0.006778,0.039,,,0.0575,0.108,0.0501,,,,0.000429,2006,2015-02-16,332.6,71.5,71.5,2453753.2,0.3,0.3,,,,,,,,,,,,,,,,,,,189.65,12.09,12.09,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 86081,149.025,-3.8083333,8.73,,,,,91.0,,,0.257,0.03,0.03,1.21,0.05,0.05,1.22,0.1,0.1,F8V,6.21,,,6028.0,44.0,44.0,,,
HD 88133 b,Confirmed,0.3,,,0.3,,,1.0,,,3.41566,0.00084,0.00084,0.047,,,0.0761,0.0508,0.0761,,,,0.000631,2004,2015-02-24,357.2,60.4,60.4,2453180.0,,,,,,,,,,,,,,,,,,,,,34.13,3.57,3.57,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 88133,152.5291667,18.1866667,8.01,,,,,74.5,,,0.34,0.04,0.04,1.2,0.2,0.2,1.93,,,G5 IV,9.56,,,5494.0,,,,,
HD 97658 b,Confirmed,0.0237548374917,0.00248560551238083,0.00261145895604568,,,,0.200464270612,0.00847534744463814,0.00874298999552145,9.4903,0.0015,0.0016,0.08,0.018,0.0017,0.078,0.053,0.057,89.14,0.36,0.52,0.003777,2010,2014-08-22,71.0,63.0,65.0,,,,,,,2456523.1254,0.00056,0.0006,,,,,,,,,,,,,,,,757.0,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,HD 97658,168.6375,25.7102778,6.27,,,,,21.1,0.33,0.33,-0.23,0.03,0.03,0.85,0.02,0.02,0.73,0.02,0.02,K1V,,,,5170.0,44.0,44.0,,,
HIP 116454 b,Confirmed,0.0372,0.004187,0.00419,0.03719,0.00418,0.00418,0.226,0.016,0.016,9.1265,0.0005,0.0005,0.098,0.003,0.003,0.205,0.072,0.072,88.43,0.4,0.4,,2014,2015-06-14,300.9,16.7,16.7,,,,,,,2456907.89,0.03,0.03,,,,,,,,,,,,,,4.41,4.41,690.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HIP 116454,353.954166683,0.445555574,10.19,,,,,55.2,5.4,5.4,-0.16,0.08,0.08,0.775,0.027,0.027,0.716,0.024,0.024,K2,,,,5089.0,50.0,50.0,,,
HR 8799 b,Confirmed,7.0,2.0,4.0,,,,1.2,0.1,0.1,164250.0,,,68.0,,,0.0,,,28.0,,,1.725888,2008,2015-03-13,,,,,,,,,,,,,,,,,,,,,,2047.1,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CH4, H2O, CO",HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1.0,1.0,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 c,Confirmed,10.0,3.0,3.0,,,,1.3,0.0,0.0,82145.0,,,42.9,,,0.0,,,28.0,,,1.088832,2008,2013-08-30,,,,,,,,,,,,,,,,,,,,,,1936.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1.0,1.0,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 d,Confirmed,10.0,3.0,3.0,,,,1.2,0.0,0.0,41054.0,,,27.0,,,0.1,,,28.0,,,0.685279,2008,2013-08-30,80.2,,,,,,,,,,,,,,,,,,,,,2003.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1.0,1.0,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
K2-10 b,Confirmed,0.085,0.053,0.053,0.085,0.053,0.053,0.343,0.031,0.031,19.3044,0.0012,0.0012,,,,0.31,0.18,0.18,88.5,,,,2016,2016-02-08,,,,,,,,,,2456819.5814,0.0021,0.0021,,,,,,,0.4,0.27,0.27,,,,7.3,4.2,4.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-10,172.120833343,1.690555575,12.5,,,,,,,,-0.07,0.07,0.07,0.92,0.05,0.05,0.98,0.08,0.08,,,,,5620.0,70.0,70.0,,,EPIC 201577035
K2-105 b,Confirmed,0.094,0.06,0.06,,,,0.32,0.035,0.039,8.266902,7e-05,7e-05,,,,,,,88.95,1.07,0.73,,2017,2017-01-06,,,,,,,,,,2457147.99107,0.00117,0.00117,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-105,125.420833347,13.497500021,12.0,,,,,220.0,30.0,30.0,0.26,0.05,0.05,1.01,0.07,0.07,0.95,0.11,0.11,,0.6,0.0,13.0,5434.0,60.0,60.0,,,
K2-107 b,Confirmed,0.84,0.08,0.08,,,,1.44,0.15,0.15,3.31392,2e-05,2e-05,0.048,0.005,0.005,,,,81.9,0.7,0.7,,,2017-02-17,,,,,,,,,,2457304.5244,0.0002,0.0002,,,,,,,0.81,0.08,0.08,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 216468514 b,,K2-107,284.985375019,-22.2933889026,,,,,11.21,,,,0.1,0.1,0.1,1.3,0.14,0.14,1.78,0.16,0.16,,4.25,1.75,1.75,,,,,,"2MASS J18595649-2217363, EPIC 216468514 "
K2-108 b,Confirmed,0.187,0.014,0.014,,,,0.471,0.048,0.048,4.73401,0.00024,0.00024,0.0573,0.001,0.001,0.18,0.042,0.042,,,,,2016,2017-02-02,,,,,,,,,,2457145.0965,0.0019,0.0019,,,,,,,,,,,,,21.3,1.4,1.4,1446.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-108,123.383333344,16.419722233,12.33,,,,,262.4,,,0.33,0.04,0.04,1.121,0.053,0.065,1.75,0.14,0.14,,7.8,1.5,1.5,5474.0,60.0,60.0,,,EPIC 211736671
K2-19 b,Confirmed,0.187,0.0359,0.0231,0.187,0.0359,0.023,0.691,0.035,0.035,7.9194,5e-05,5e-05,0.077,0.013,0.008,0.119,0.35,0.82,88.83,0.89,1.08,,2015,2016-04-06,179.0,52.0,52.0,,,,,,,,,,,,,,,,0.233,0.163,0.213,,,,,,,854.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-19,174.96033335,0.6035833482,12.806,12.567,11.596,11.208,11.161,291.0,20.0,33.0,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9V,8.0,inf,nan,5430.0,60.0,60.0,,,EPIC 201505350
K2-19 c,Confirmed,0.031,0.0063,0.0123,,,,0.434,0.039,0.055,11.90715,0.0015,0.0015,0.1032,0.008,0.0074,0.095,0.035,0.073,89.91,0.32,0.05,,2015,2016-04-06,237.0,68.0,15.0,,,,,,,,,,,,,,,,0.367,0.264,0.26,,,,,,,745.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,K2-19,174.96033335,0.6035833482,12.806,12.567,11.596,11.208,11.161,291.0,20.0,33.0,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9V,8.0,inf,nan,5430.0,60.0,60.0,,,EPIC 201505350
K2-24 b,Confirmed,0.0661,0.017,0.017,0.0661,0.017,0.017,0.52,0.054,0.054,20.8851,0.0003,0.0003,0.154,0.002,0.002,,,,89.25,0.61,0.89,,2015,2016-06-03,,,,,,,,,,2450965.7948,0.0007,0.0007,,,,,,,0.37,0.24,0.24,,,,4.5,1.1,1.1,709.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 203771098 b,,KE-24 ,242.575000006,-24.990277803,11.648,10.64,9.635,9.294,9.18,181.0,17.0,17.0,0.42,0.04,0.04,1.12,0.05,0.05,1.21,0.11,0.11,G9V,5.0,1.8,1.8,5743.0,60.0,60.0,,,"2MASS 16101770-2459251, EPIC 203771098"
K2-24 c,Confirmed,0.085,0.022,0.022,0.085,0.022,0.022,0.723,0.073,0.073,42.36342,0.00063,0.00063,0.247,0.004,0.004,,,,89.76,0.2,0.2,,2015,2016-06-03,,,,,,,,,,2456915.6251,0.0004,0.0004,,,,,,,0.22,0.17,0.17,,,,4.6,1.2,1.2,560.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 203771098 c,,KE-24 ,242.575000006,-24.990277803,11.648,10.64,9.635,9.294,9.18,181.0,17.0,17.0,0.42,0.04,0.04,1.12,0.05,0.05,1.21,0.11,0.11,G9V,5.0,1.8,1.8,5743.0,60.0,60.0,,,"2MASS 16101770-2459251, EPIC 203771098"
K2-27 b,Confirmed,0.0972,0.014,0.014,,0.014,0.014,0.397,0.029,0.029,6.77145,0.00013,0.00013,,,,0.25,0.09,0.09,88.4,,,,2016,2017-02-02,,,,,,,,,,2456812.8451,0.001,0.001,,,,,,,0.3,0.21,0.21,,,,11.8,1.8,1.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 201546283 b,,K2-27,171.516666668,0.330833349,,,,,,,,,0.14,0.07,0.07,0.89,0.05,0.05,0.85,0.06,0.06,,,,,5320.0,70.0,70.0,,,EPIC 201546283
K2-29 b,Confirmed,0.73,0.04,0.04,0.73,0.04,0.04,1.19,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00024,0.00024,0.066,0.022,0.022,86.656,0.08,0.11,,2016,2016-06-13,132.0,21.0,21.0,,,,,,,2453219.0095,0.0022,0.0022,,,,1.5,8.7,8.7,0.58,0.02,0.02,,,,103.5,5.4,5.4,1171.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"WASP-152 b, EPIC 211089792 b",,EPIC 211089792,62.670833347,24.401944454,,,,,,,,,,,,,,,,,,G7V,,,,,,,,,"WASP-152, K2-29 "
K2-3  b,Confirmed,0.026,0.0066,0.0066,0.026,0.0066,0.0066,0.194,0.03,0.03,10.05449,0.00026,0.00026,0.0775,0.0039,0.0039,0.06,0.06,0.06,89.59,0.4,0.24,,2015,2015-12-01,,,,,,,,,,2455813.4189,0.0011,0.0011,,,,,,,0.21,0.12,0.21,,,,,,,463.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-3,172.33333334,-1.454722235,12.17,10.999,9.421,8.805,8.561,42.0,2.0,2.0,-0.3,0.06,0.07,0.612,0.086,0.086,0.553,0.041,0.041,M0.0V,1.0,inf,nan,3951.0,38.0,33.0,,,EPIC 201367065 
K2-3 c,Confirmed,0.0066,0.0041,0.0066,0.0066,0.0041,0.0066,0.165,0.024,0.024,24.64354,0.00117,0.00117,0.1405,0.0067,0.0067,0.04,0.04,0.04,89.7,0.2,0.2,,2015,2015-12-01,,,,,,,,,,2456812.2786,0.0027,0.0027,,,,,,,0.31,0.21,0.14,,,,,,,344.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-3,172.33333334,-1.454722235,12.17,10.999,9.421,8.805,8.561,42.0,2.0,2.0,-0.3,0.06,0.07,0.612,0.086,0.086,0.553,0.041,0.041,M0.0V,1.0,inf,nan,3951.0,38.0,33.0,,,EPIC 201367065 
K2-3 d,Confirmed,0.0349,0.011,0.011,0.0349,0.011,0.011,0.135,0.021,0.021,44.5598,0.0059,0.0059,0.2086,0.01,0.01,0.045,0.045,0.045,89.79,0.15,0.15,,2015,2015-12-01,,,,,,,,,,2456826.2232,0.0037,0.0043,,,,,,,0.359,0.27,0.089,,,,,,,282.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-3,172.33333334,-1.454722235,12.17,10.999,9.421,8.805,8.561,42.0,2.0,2.0,-0.3,0.06,0.07,0.612,0.086,0.086,0.553,0.041,0.041,M0.0V,1.0,inf,nan,3951.0,38.0,33.0,,,EPIC 201367065 
K2-30 b,Confirmed,0.624,0.0313,0.0314,0.623,0.031,0.031,1.196,0.06,0.06,4.098507,2.8e-05,2.8e-05,0.04986,0.00035,0.00035,0.027,0.02,0.036,86.32,0.38,0.38,,2016,2016-06-07,120.0,51.0,100.0,,,,,,,2457063.8071,0.00027,0.00027,,,,,,,0.721,0.036,0.036,,,,79.9,4.0,4.0,1185.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-30,52.341666674,22.299444463,13.5,,,,,323.0,14.0,14.0,0.136,,,0.984,0.02,0.02,0.941,0.041,0.041,G8,,,,5581.0,38.0,38.0,,,
K2-31 b,Confirmed,1.774,0.079,0.079,,,,1.06,0.35,0.35,1.25785,2e-06,2e-06,0.022,0.0018,0.0018,,,,79.9,0.8,0.8,,2016,2017-01-25,,,,,,,,,,2457191.70889,0.00024,0.00024,,,,,,,0.95,0.05,0.1,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-31 ,245.440837515,-23.547866689,10.8,,,,,,,,0.08,0.05,0.05,0.91,0.06,0.06,0.78,0.07,0.07,G7V,,,,5280.0,70.0,70.0,,,"2MASS 16214578-2332520, TYC 6794-471-1, EPIC 204129699"
K2-32 b,Confirmed,0.0519,0.0088,0.0088,,,,0.48,0.031,0.031,8.99218,0.0002,0.0002,0.0808,0.0013,0.0013,0.21,0.21,0.22,89.0,0.9,0.69,,2015,2017-02-02,,,,,,,,,,2456900.9258,0.0009,0.0009,,,,,,,0.33,0.22,0.22,,,,5.6,0.93,0.93,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-32 b,,EPIC 205071984,252.426112514,-19.5428000182,12.31,,,,,,,,0.0,0.04,0.04,0.87,0.04,0.04,0.87,0.05,0.05,G9V,,,,5315.0,60.0,60.0,,,K2-32
K2-32 c,Confirmed,0.04,0.03993,0.0,,,,0.31,0.037,0.087,20.65614,0.00598,0.00598,0.1407,0.0024,0.0024,,,,88.23,2.68,1.32,,2015,2017-02-02,,,,,,,,,,2456899.4306,0.0101,0.0101,,,,,,,0.74,0.46,0.18,,,,1.7,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-32 c,,EPIC 205071984,252.426112514,-19.5428000182,12.31,,,,,,,,0.0,0.04,0.04,0.87,0.04,0.04,0.87,0.05,0.05,G9V,,,,5315.0,60.0,60.0,,,K2-32
K2-32 d,Confirmed,0.0343,0.015,0.015,,,,0.335,0.036,0.036,31.71922,0.00236,0.00236,0.1873,0.0031,0.0031,,,,88.4,0.65,1.06,,2015,2017-02-02,,,,,,,,,,2456903.7846,0.0031,0.0031,,,,,,,,,,,,,2.4,1.1,1.1,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-32 d,,EPIC 205071984,252.426112514,-19.5428000182,12.31,,,,,,,,0.0,0.04,0.04,0.87,0.04,0.04,0.87,0.05,0.05,G9V,,,,5315.0,60.0,60.0,,,K2-32
K2-33 b,Confirmed,3.6,3.59999,0.0,,,,0.451,0.033,0.033,5.42513,0.00029,0.00029,0.0409,0.0023,0.0023,0.0,,,89.1,1.1,0.6,,2016,2016-06-27,,,,,,,,,,2456898.69288,0.0012,0.0012,,,,,,,0.16,0.11,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 205117205 b,,EPIC 205117205,242.562500005,-19.319166675,16.0,,,,,145.0,5.0,5.0,,,,0.54,0.07,0.11,1.06,0.07,0.07,M3.3,0.0095,0.0011,0.0014,3540.0,70.0,70.0,,,K2-33
K2-34 b,Confirmed,1.78,0.133,0.134,1.76,0.13,0.13,1.35,0.067,0.067,2.995607,1.7e-05,1.7e-05,0.04419,0.0011,0.00063,0.0,,,82.06,0.51,0.51,,2016,2016-06-07,,,,,,,,,,2457141.35132,0.00022,0.00022,,,,,,,0.857,0.023,0.023,,,,209.0,12.0,12.0,1742.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-34,127.579166673,22.23583334,11.5,,,,,377.0,20.0,20.0,0.24,0.22,0.22,1.281,0.091,0.055,1.526,0.076,0.076,F9,,,,6132.0,47.0,47.0,,,
K2-39 b,Confirmed,0.125,0.014,0.014,,,,0.73,0.098,0.098,4.60543,0.00046,0.00046,0.062,0.012,0.01,0.152,0.068,0.084,80.0,4.0,4.0,,2016,2017-02-02,,,,,,,,,,2456980.8236,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,13.8,1.4,1.4,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-39,339.866666676,-9.022777783,10.83,,,,,255.0,,,0.32,0.04,0.04,1.53,0.13,0.13,3.88,0.42,0.48,,3.09,0.7,0.92,4881.0,20.0,20.0,,,
K2-60 b,Confirmed,0.426,0.037,0.037,,,,0.683,0.037,0.037,3.00265,4e-05,4e-05,0.045,0.003,0.003,,,,88.49,0.96,0.96,,2016,2017-01-24,,,,,,,,,,2456928.0593,0.0007,0.0007,,,,,,,0.21,0.13,0.13,,,,61.0,2.6,2.6,1400.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-60,338.606208342,-13.7317028041,,,,,10.99,,,,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,G4V,10.0,3.0,3.0,5500.0,100.0,100.0,,,"EPIC 22342548-13435, 2MASS 22342548-134351"
K2-77 b,Confirmed,1.9,0.00042,0.00079,1.9,,,0.205,0.014,0.014,8.199796,0.000719,0.000683,,,,0.14,0.09,0.22,88.7,0.8,0.8,,2016,2017-01-25,89.0,44.0,44.0,,,,,,,2457070.80596,0.00179,0.0019,,,,,,,0.46,0.3,0.24,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,K2-77,55.2284166849,12.5726111272,12.158,,,,,125.0,5.0,5.0,0.29,0.06,0.06,0.8,0.12,0.12,0.76,0.03,0.03,K,0.7,0.3,0.3,4970.0,45.0,45.0,,,EPIC 210363145
K2-97 b,Confirmed,1.1,0.11,0.11,,,,1.31,0.11,0.11,8.4061,0.0015,0.0015,,,,,,,,,,,2016,2017-01-27,,,,,,,,,,,,,,,,,,,0.933,0.007,0.006,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS 08310308+1050513 b, EPIC 211351816 b",,K2-97,127.762854168,10.8475916947,,,,,,,,,0.42,0.08,0.08,1.16,0.12,0.12,4.2,0.14,0.14,,7.8,2.0,2.0,,,,,,"2MASS J08310308+1050513, EPIC 211351816"
K2-99 b,Confirmed,0.97,0.09,0.09,,,,1.29,0.05,0.05,18.249,0.001,0.001,0.159,0.006,0.006,0.19,0.04,0.04,87.7,0.3,0.3,,2016,2016-11-09,,,,,,,,,,2457233.823,0.003,0.003,,,,,,,,,,,,,56.4,4.0,4.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TYC 4974-871 b,,EPIC 212803289,208.773750002,-5.44246668264,11.149,,,,,604.0,14.0,24.0,0.2,0.05,0.05,1.6,0.1,0.14,3.1,0.1,0.1,G0 IV,2.4,0.6,0.2,5990.0,40.0,40.0,,,"2MASS J13550570-0526330, TYC 4974-871"
